"GeneID","LWC142","LWC143","LWC148","LWC153","LWC157","LWC162"
"A1CF",0,13,0,0,0,0
"A4GALT",20,82,30,22,149,56
"A4GNT",0,1,0,0,0,0
"AAAS",94,280,53,554,651,199
"AACS",22,16,5,19,12,26
"AADAC",0,9,0,0,7,0
"AADAT",108,163,69,103,211,117
"AAGAB",665,471,1069,879,932,974
"AAK1",830,1205,632,1592,1787,815
"AAMDC",2822,3356,3021,2158,1766,2720
"AANAT",46,56,64,38,51,51
"AAR2",627,1121,455,1323,1431,787
"AARS1",349,591,348,859,1174,778
"AARS2",569,1045,448,1360,1911,805
"AASDH",6456,7719,3598,4619,7587,3106
"AASDHPPT",88,272,134,212,153,183
"AASS",307,493,248,674,463,365
"AATF",786,723,516,989,1085,404
"AATK",3,106,4,19,53,14
"ABAT",107,169,104,105,159,75
"ABCA1",2281,875,1749,3017,2665,1365
"ABCA12",40,58,29,35,61,46
"ABCA13",130,213,148,23,92,81
"ABCA2",11,99,9,36,47,13
"ABCA3",84,153,53,220,540,122
"ABCA4",19,42,15,13,35,7
"ABCA5",559,1002,209,682,1231,515
"ABCA7",7,92,9,35,30,4
"ABCB1",7,12,10,5,10,7
"ABCB11",128,130,107,145,162,55
"ABCB5",0,21,6,5,0,0
"ABCB6",1225,5066,1383,5600,5559,3773
"ABCB7",3335,3068,4724,3268,3723,4500
"ABCB8",42,121,95,206,240,281
"ABCB9",302,183,275,450,509,401
"ABCC10",146,234,139,371,485,256
"ABCC2",45,87,9,113,97,17
"ABCC3",81,113,97,55,381,78
"ABCC4",681,1107,300,483,957,488
"ABCC5",2374,3201,1698,2897,3903,2276
"ABCC8",1,20,2,4,3,1
"ABCC9",2,31,15,5,44,52
"ABCD2",755,1226,526,755,1211,704
"ABCD3",1043,1030,732,982,1049,533
"ABCD4",209,364,121,403,488,179
"ABCE1",6624,6438,13042,6373,10526,11139
"ABCF1",310,632,234,544,855,330
"ABCF2",763,1273,1226,865,1566,1158
"ABCF3",308,597,201,926,1822,606
"ABCG1",16,24,5,10,5,3
"ABCG2",207,189,862,322,1616,1455
"ABCG4",2,33,0,10,12,3
"ABCG5",56,21,16,87,15,18
"ABCG8",61,27,15,70,28,14
"ABHD10",209,205,132,304,317,210
"ABHD11",77,154,47,159,134,148
"ABHD12",402,500,212,697,759,341
"ABHD12B",6,21,4,8,17,0
"ABHD13",1744,1824,1476,2020,2574,1320
"ABHD14A",1,7,0,3,4,0
"ABHD15",42,87,43,103,98,59
"ABHD17A",42,186,30,326,633,263
"ABHD17B",669,761,487,1920,945,518
"ABHD17C",487,1627,832,736,1134,1095
"ABHD18",1065,1241,1883,1396,1545,950
"ABHD2",2791,2897,1769,3364,4645,2956
"ABHD3",164,273,95,54,595,108
"ABHD5",960,1506,254,463,1198,365
"ABHD6",5434,5774,3365,6718,4857,4509
"ABHD8",0,9,0,3,2,2
"ABI1",2035,2315,1971,1867,2675,1754
"ABI2",495,2383,798,547,722,506
"ABI3",10,29,20,31,34,38
"ABITRAM",13,22,55,44,102,92
"ABL1",175,276,380,538,579,367
"ABL2",122,155,80,205,228,119
"ABLIM1",72,144,106,124,186,154
"ABLIM2",2,9,1,0,1,0
"ABLIM3",0,23,0,1,0,1
"ABR",38,109,51,69,147,58
"ABRA",4,8,18,8,25,20
"ABRACL",163,290,113,428,481,210
"ABRAXAS1",2275,2481,2465,1965,3166,1490
"ABRAXAS2",2621,2674,2430,2652,3264,1983
"ABTB1",3582,4429,3700,5740,6716,3976
"ABTB2",115,418,121,179,315,117
"ACAA1",908,1414,828,1335,1276,853
"ACAA2",282,565,151,522,397,287
"ACACA",838,856,417,813,1318,467
"ACACB",0,41,0,3,1,0
"ACAD10",741,990,560,1207,1425,822
"ACAD11",800,811,409,1085,851,436
"ACAD8",29,64,14,33,120,13
"ACAD9",539,535,466,710,772,506
"ACADL",1860,2251,1617,1835,2314,1459
"ACADM",948,1297,7,340,365,66
"ACADSB",211,275,80,242,324,110
"ACAN",61,57,1,11,44,14
"ACAP2",1890,1401,1243,1640,3097,1255
"ACAP3",0,25,1,11,1,2
"ACAT1",302,311,241,403,414,200
"ACAT2",83,80,37,69,107,35
"ACBD3",704,902,506,987,1114,581
"ACBD4",57,124,58,175,236,122
"ACBD5",1143,1347,938,1190,1364,880
"ACBD6",249,225,108,316,326,140
"ACBD7",10,30,3,21,5,7
"ACCS",10,29,20,26,87,78
"ACE",14,29,181,252,480,109
"ACE2",0,16,1,1,13,1
"ACER1",0,5,0,0,0,0
"ACER2",50,86,21,133,73,30
"ACER3",11,11,3,11,19,8
"ACKR1",42,245,44,136,410,438
"ACKR2",9,11,2,2,21,5
"ACKR3",12379,17193,4262,12006,9896,8003
"ACKR4",128,93,66,201,86,51
"ACLY",1564,1560,1192,1944,3110,2170
"ACMSD",0,3,0,0,1,0
"ACO1",139,98,114,239,249,178
"ACO2",631,689,479,877,1365,880
"ACOD1",168,219,82,120,618,146
"ACOT11",7,68,7,13,56,16
"ACOT12",107,126,54,234,154,43
"ACOT13",1176,1163,1553,1122,1664,1021
"ACOT7",208,659,330,505,828,529
"ACOT8",389,961,473,1206,1700,775
"ACOT9",6596,6817,4367,10503,3196,2317
"ACOX1",870,1165,906,1062,1528,823
"ACOX2",36,25,22,28,26,19
"ACOX3",1535,1443,1197,1568,1744,1051
"ACP1",188,119,389,315,308,466
"ACP2",627,1116,558,1096,1325,505
"ACP5",10,27,6,19,33,11
"ACP6",1921,1440,1117,1155,1767,869
"ACSBG1",357,539,115,251,355,214
"ACSBG2",37,137,23,31,140,67
"ACSF2",9,8,3,10,10,4
"ACSF3",895,540,631,730,761,355
"ACSL1",225,443,76,180,510,173
"ACSL3",2993,2750,2686,2501,3421,1864
"ACSL4",291,1092,1220,399,931,1257
"ACSL5",295,316,333,283,470,199
"ACSL6",87,196,278,968,876,1186
"ACSS1",2625,3737,4908,7622,20383,7850
"ACSS2",190,348,132,356,857,342
"ACSS3",0,5,0,0,0,0
"ACTA1",115,199,194,141,193,157
"ACTA2",3,8,0,7,1,0
"ACTB",313,539,232,534,1326,439
"ACTC1",0,8,0,1,6,3
"ACTG1",824,1780,420,1669,4682,1811
"ACTG2",3,83,33,88,72,30
"ACTL10",15,49,16,91,101,104
"ACTL6A",812,667,433,914,872,399
"ACTL7B",18,10,9,11,14,1
"ACTN1",1429,2685,567,1113,4409,1192
"ACTN2",10,41,9,4,1,1
"ACTR10",7116,7589,10595,8744,9337,7653
"ACTR1A",2317,3011,2294,3267,4924,3875
"ACTR2",908,1080,491,1099,1772,811
"ACTR3",8065,6687,7926,6005,9051,7132
"ACTR3B",1037,1095,972,809,1061,881
"ACTR6",614,558,725,618,683,743
"ACTR8",1803,2015,1314,1693,2331,1218
"ACVR1",1257,1501,659,1219,1364,613
"ACVR1B",469,784,443,539,846,421
"ACVR1C",0,19,0,0,2,1
"ACVR2A",971,1443,888,1713,1493,699
"ACVR2B",50,16,18,1,23,18
"ACVRL1",0,41,2,5,18,9
"ACYP1",418,616,496,443,600,532
"ACYP2",14,6,11,9,8,9
"ADA",14,75,82,42,391,343
"ADA2",378,466,193,167,804,420
"ADAD1",65,129,53,74,113,35
"ADAL",6195,7044,14324,7085,5881,6925
"ADAM10",2018,3067,3052,2322,3081,3017
"ADAM11",2,36,2,2,0,1
"ADAM12",16,39,3,3,6,2
"ADAM15",8,57,11,26,33,20
"ADAM17",1130,1242,643,1923,2201,908
"ADAM19",92,358,86,94,392,110
"ADAM22",11,19,15,9,15,8
"ADAM23",4,20,0,31,3,8
"ADAM28",411,1016,352,264,1510,362
"ADAM33",9,79,11,47,95,41
"ADAM8",5,44,3,14,24,9
"ADAM9",81,108,53,81,160,56
"ADAMTS1",0,14,0,0,1,2
"ADAMTS10",9,54,12,6,53,23
"ADAMTS12",47,44,42,59,3,43
"ADAMTS13",421,917,382,391,2880,501
"ADAMTS14",0,34,0,2,0,1
"ADAMTS15",0,9,0,0,0,0
"ADAMTS17",2,31,2,3,4,0
"ADAMTS18",0,15,14,26,3,11
"ADAMTS19",0,11,1,1,1,2
"ADAMTS2",62,130,29,60,177,45
"ADAMTS20",3,23,12,8,3,2
"ADAMTS3",187,271,180,293,455,361
"ADAMTS5",0,27,1,0,0,0
"ADAMTS6",3,13,12,12,10,6
"ADAMTS7",412,1920,1498,847,2061,1258
"ADAMTS8",0,24,0,0,0,0
"ADAMTS9",1,27,4,14,12,0
"ADAMTSL1",4,11,2,1,1,1
"ADAMTSL2",1,31,0,0,0,0
"ADAMTSL3",3,27,2,5,16,3
"ADAMTSL5",2,43,0,3,1,0
"ADAP1",46,99,37,99,103,45
"ADAP2",5118,4472,10026,7026,4592,7626
"ADAR",1651,2206,1571,3689,4471,2868
"ADARB1",923,1025,692,783,1561,544
"ADARB2",0,12,1,2,0,1
"ADAT1",1509,1677,1270,3220,2369,1240
"ADAT2",1444,1522,1311,1366,1720,1397
"ADCK1",789,925,547,1270,1611,640
"ADCK2",48,56,30,72,88,59
"ADCY1",2,27,1,1,0,0
"ADCY2",4,17,2,2,2,2
"ADCY3",3,48,2,18,30,8
"ADCY5",63,131,64,81,111,70
"ADCY6",8,66,13,74,53,17
"ADCY7",582,616,458,523,751,386
"ADCY8",0,13,0,0,1,0
"ADCY9",3884,4588,2794,6054,5422,3232
"ADCYAP1",0,13,0,2,0,0
"ADCYAP1R1",0,15,0,0,0,0
"ADD1",3610,4761,2655,4648,5125,2996
"ADD2",626,2256,963,2034,2678,2115
"ADD3",1769,1144,2863,2443,2765,2671
"ADGB",100,374,54,92,10,46
"ADGRA2",17,96,10,43,104,27
"ADGRA3",458,464,149,425,467,248
"ADGRB1",0,41,0,0,0,0
"ADGRB2",1,77,4,8,0,4
"ADGRB3",0,16,0,0,0,0
"ADGRD1",59,135,29,75,69,11
"ADGRD2",6,36,2,6,22,3
"ADGRF5",0,12,0,0,1,0
"ADGRG1",3,40,1,10,14,2
"ADGRG2",181,258,206,76,312,139
"ADGRG3",15,134,17,27,329,52
"ADGRG4",145,210,67,71,170,57
"ADGRG5",7,28,12,21,37,32
"ADGRG6",38,49,39,12,42,41
"ADGRG7",0,4,0,0,0,0
"ADGRL2",3,24,9,3,13,9
"ADGRL3",18,27,3,25,19,3
"ADGRL4",2,17,3,1,6,0
"ADGRV1",7,99,29,38,29,6
"ADHFE1",372,683,382,718,615,450
"ADI1",305,387,594,267,768,995
"ADIPOQ",15,25,1,8,12,3
"ADIPOR1",521,1276,509,1405,1946,1092
"ADIPOR2",574,763,466,622,1194,574
"ADIRF",6,19,5,19,129,15
"ADK",20051,22064,42889,18077,21003,29264
"ADM",9,27,6,9,7,4
"ADM2",0,14,4,11,0,5
"ADNP2",2131,3234,1372,3046,3686,1442
"ADO",95,147,81,245,278,134
"ADORA1",0,3,0,0,0,0
"ADORA2A",81,188,42,102,297,91
"ADORA2B",22,74,16,27,170,24
"ADORA3",79,132,70,167,275,76
"ADPGK",285,384,227,374,705,511
"ADPRH",107,224,197,261,275,397
"ADPRHL1",4,17,8,4,17,0
"ADPRM",236,413,183,272,397,189
"ADPRS",364,633,475,1049,1152,361
"ADRA1A",0,5,0,0,0,0
"ADRA1B",6,5,3,12,3,14
"ADRA1D",1,7,4,0,2,0
"ADRA2A",1,8,0,1,1,0
"ADRA2B",0,20,0,2,2,1
"ADRA2C",0,12,0,0,0,0
"ADRB1",235,1828,328,888,1637,870
"ADRB2",9,104,7,38,143,47
"ADRB3",0,23,0,0,0,1
"ADRM1",1032,1407,801,1347,1908,1125
"ADSL",298,377,146,353,604,226
"ADSS1",144,162,333,91,232,313
"ADSS2",1131,1041,805,1238,1696,874
"AEBP1",3,29,8,12,17,7
"AEBP2",866,1336,566,1225,1075,672
"AFAP1",2,11,0,0,1,3
"AFAP1L1",50,83,15,58,65,34
"AFAP1L2",1,25,22,10,19,15
"AFDN",1,33,8,6,6,5
"AFF1",1726,2960,1897,2746,3058,1801
"AFF2",60,69,38,122,75,53
"AFF3",2,14,1,2,1,0
"AFF4",11698,18069,10047,14577,17134,13639
"AFG1L",1028,861,307,1116,1047,401
"AFG3L2",2387,3097,1649,3066,3200,1582
"AFMID",2,38,1,9,17,9
"AFTPH",5520,6934,3633,6432,8934,3639
"AGA",1321,1908,1362,1998,1728,1761
"AGAP1",29,57,5,35,28,11
"AGAP3",16,44,5,20,46,10
"AGBL1",0,17,0,1,0,0
"AGBL2",22,103,21,113,78,53
"AGBL5",139,521,76,517,725,219
"AGFG1",2007,3027,917,2187,2873,1297
"AGGF1",433,591,267,886,510,332
"AGK",3168,3195,2803,3191,3457,1987
"AGL",5856,9139,4288,5951,6992,3630
"AGMAT",11,72,19,69,130,35
"AGMO",0,5,0,0,0,0
"AGO2",4136,4716,5248,4312,4653,3846
"AGO4",2164,3438,1573,2897,4349,1997
"AGPAT2",47,277,25,51,234,63
"AGPAT3",4,18,6,4,5,5
"AGPAT4",214,426,223,134,824,222
"AGPAT5",7425,8693,10506,7406,9223,9870
"AGPS",1469,1657,1221,1559,1357,862
"AGR2",4,3,16,9,20,88
"AGR3",0,17,9,19,20,57
"AGRN",4,94,4,1,2,3
"AGT",86,117,90,79,100,47
"AGTPBP1",700,2085,464,721,628,371
"AGTR1",55,49,14,5,17,2
"AGTR2",0,5,0,0,4,0
"AGXT",0,12,1,0,1,5
"AGXT2",52,31,36,137,38,51
"AHCY",289,200,220,131,353,262
"AHCYL1",187,414,128,592,817,347
"AHCYL2",138,332,64,237,404,203
"AHDC1",1,59,3,22,7,1
"AHI1",4670,6761,4389,5350,2235,2664
"AHNAK2",1,7,1,4,105,0
"AHR",80,73,38,50,228,95
"AHRR",0,6,2,1,0,0
"AHSA1",875,1875,650,1733,2114,796
"AHSA2P",71,120,73,183,160,79
"AHSG",6,9,6,1,8,12
"AICDA",0,10,2,0,0,0
"AIDA",223,366,174,337,442,188
"AIF1L",106,105,73,82,332,109
"AIFM1",1557,1928,1316,1883,2749,983
"AIFM2",4,16,9,9,20,12
"AIFM3",0,22,0,3,0,0
"AIG1",1537,1446,2266,2071,1239,2463
"AIMP1",1035,843,722,963,1113,645
"AIMP2",1215,1165,2501,1563,2300,2235
"AIPL1",19,41,6,28,42,16
"AJAP1",0,37,0,0,0,0
"AJM1",5,34,3,7,4,2
"AK1",3,14,15,9,24,33
"AK2",11505,10391,17141,10529,20885,14275
"AK3",104,98,119,153,93,67
"AK4",701,944,317,693,989,344
"AK5",133,130,87,104,120,47
"AK6",232,225,243,536,327,198
"AK7",953,784,1463,424,937,619
"AK8",171,169,70,118,186,58
"AK9",78,107,36,82,62,38
"AKAIN1",4,12,1,6,5,2
"AKAP1",340,713,221,601,657,374
"AKAP10",1935,2246,2062,2529,2822,2047
"AKAP11",2464,1806,2109,1482,1943,1272
"AKAP12",3,13,9,10,8,3
"AKAP13",229,309,168,207,606,239
"AKAP17A",1440,2701,1888,2330,2786,2244
"AKAP5",0,17,0,0,1,0
"AKAP6",3,10,7,5,6,7
"AKAP7",936,1168,462,976,855,434
"AKAP8",1382,1831,829,1484,2357,1046
"AKAP8L",177,223,179,111,377,202
"AKAP9",6438,6133,4671,5298,4130,3539
"AKIP1",20,38,6,21,32,20
"AKIRIN2",2186,3345,1060,3817,3949,1896
"AKNA",7,84,14,51,136,39
"AKNAD1",1157,1078,972,966,1088,845
"AKR1A1",3232,2393,1329,1872,2191,1313
"AKR1D1",3,12,2,0,3,0
"AKR7A2",198,191,126,261,430,259
"AKT1",99,663,159,114,267,249
"AKT2",436,918,529,1003,1174,863
"AKT3",5636,4332,3443,3201,2506,1020
"ALAD",14,63,24,77,116,173
"ALAS1",942,1222,734,1008,1814,860
"ALCAM",0,16,0,2,5,2
"ALDH16A1",49,149,65,240,217,115
"ALDH18A1",1268,1715,1800,3247,1222,1345
"ALDH1A1",12,4,2,0,1,3
"ALDH1A2",87,108,41,37,168,75
"ALDH1A3",7,17,7,13,8,8
"ALDH1L2",225,291,164,237,238,98
"ALDH2",6225,6395,6721,7124,5617,5697
"ALDH3B1",224,601,134,205,490,273
"ALDH4A1",160,189,177,229,351,201
"ALDH5A1",78,70,62,70,202,170
"ALDH6A1",3868,5102,5594,3720,5092,5190
"ALDH7A1",423,514,257,1178,993,348
"ALDH8A1",14,29,19,24,27,8
"ALDH9A1",371,518,309,620,945,337
"ALDOB",238,185,1035,659,1185,3318
"ALDOC",28,99,12,43,136,49
"ALG1",602,697,384,665,828,468
"ALG11",264,274,200,308,316,201
"ALG12",909,1079,773,922,1180,679
"ALG14",83,66,60,72,114,101
"ALG2",299,842,284,701,837,376
"ALG3",2,15,6,8,14,10
"ALG5",1622,1666,1560,1632,1741,1379
"ALG6",128,124,101,158,146,160
"ALG8",337,398,204,422,504,240
"ALG9",363,401,276,716,538,332
"ALK",15,32,14,9,11,6
"ALKAL1",0,0,0,0,0,0
"ALKAL2",1,4,2,0,0,0
"ALKBH1",1984,2318,1762,2557,3172,1410
"ALKBH2",4,10,6,4,8,10
"ALKBH3",555,478,552,967,1501,826
"ALKBH4",37,27,6,26,33,12
"ALKBH5",499,1211,475,1466,2115,977
"ALKBH8",1040,950,1541,1378,993,1061
"ALMS1",808,1466,283,1456,1340,578
"ALOX5",510,1080,641,450,1534,551
"ALPK1",56,90,29,126,142,26
"ALPK2",0,3,0,0,0,0
"ALPK3",3,34,0,3,3,1
"ALPL",0,11,4,1,0,3
"ALS2",2942,3968,2347,3809,5520,2578
"ALS2CL",236,658,74,85,829,225
"ALX1",0,3,0,0,0,0
"ALX3",0,10,0,0,4,1
"ALX4",0,24,1,7,6,2
"ALYREF",291,339,184,573,678,284
"AMACR",48,41,43,101,119,65
"AMBRA1",1918,3589,1178,4124,6034,1963
"AMD1",1651,2463,949,1550,2012,737
"AMDHD1",2,8,1,3,4,2
"AMDHD2",297,1562,501,1713,2175,1021
"AMER1",14,66,13,94,239,98
"AMER2",0,27,1,0,0,0
"AMER3",0,17,0,1,0,0
"AMFR",6142,5248,6214,6680,8515,6991
"AMH",0,47,0,4,3,0
"AMIGO1",2,27,2,5,1,4
"AMIGO2",0,20,0,1,1,0
"AMIGO3",0,12,3,2,1,0
"AMMECR1",3210,4761,3454,3654,3872,3704
"AMMECR1L",741,1072,871,1045,1285,1191
"AMN",1,19,1,0,6,0
"AMN1",1720,1713,1243,1522,1891,1019
"AMOT",124,130,73,135,252,113
"AMOTL1",10,44,1,8,52,7
"AMOTL2",0,22,3,7,4,2
"AMPD1",118,197,38,150,230,65
"AMPD2",7,19,9,13,16,13
"AMPD3",1280,1767,1423,1169,1145,1779
"AMPH",1,19,1,0,0,0
"AMT",48,138,45,135,135,152
"AMZ1",0,3,0,2,1,1
"ANAPC1",1435,1611,685,2654,3289,1401
"ANAPC10",2981,3461,1356,2984,2939,1055
"ANAPC11",369,551,352,504,887,581
"ANAPC13",408,328,411,434,517,724
"ANAPC15",3371,4082,4366,4149,4938,2796
"ANAPC16",434,711,288,772,766,596
"ANAPC2",106,146,83,129,147,82
"ANAPC4",2124,1902,1450,1968,2028,1252
"ANAPC5",1011,949,588,1230,1448,608
"ANAPC7",2109,2243,1299,2026,2780,1124
"ANGEL1",1181,2448,999,1736,1363,1180
"ANGEL2",1745,1615,1436,1535,1553,926
"ANGPT1",179,261,177,69,518,109
"ANGPT2",76,66,70,78,50,31
"ANGPT4",2,17,1,7,0,1
"ANGPTL1",105,110,54,49,49,65
"ANGPTL2",188,402,255,149,731,296
"ANGPTL3",1,6,2,2,2,1
"ANGPTL4",0,51,5,20,27,36
"ANGPTL5",0,2,0,0,0,0
"ANGPTL7",148,160,106,150,204,100
"ANHX",51,54,22,26,44,29
"ANK1",9972,20742,9594,26805,27100,21251
"ANK2",25,71,31,18,16,32
"ANK3",1,34,2,3,2,2
"ANKDD1A",48,59,43,37,72,55
"ANKDD1B",50,54,10,85,51,11
"ANKEF1",0,4,0,0,0,0
"ANKFN1",2,31,14,2,6,2
"ANKFY1",5021,6964,3576,6086,6704,4953
"ANKH",77,32,142,310,520,669
"ANKIB1",1873,2570,1368,1884,2025,1579
"ANKK1",1,10,14,5,6,7
"ANKLE1",0,21,4,12,10,18
"ANKLE2",1801,1842,1432,1875,2343,1505
"ANKMY1",0,20,0,2,0,0
"ANKMY2",855,1487,483,1124,925,663
"ANKRA2",426,547,550,1191,804,505
"ANKRD1",110,108,45,74,92,37
"ANKRD10",158,341,122,309,341,184
"ANKRD11",3218,4934,2266,3462,5167,2044
"ANKRD12",10722,14072,7131,11137,10947,5555
"ANKRD13A",1387,1708,1252,1866,2360,1537
"ANKRD13B",3,18,6,3,7,2
"ANKRD13C",843,1358,690,1621,2287,923
"ANKRD13D",4,37,9,17,24,18
"ANKRD16",613,431,423,785,990,359
"ANKRD17",4436,6321,2354,6156,7749,2965
"ANKRD2",34,119,53,77,92,72
"ANKRD22",135,298,151,75,349,90
"ANKRD24",24,82,23,56,98,28
"ANKRD27",463,651,341,303,467,318
"ANKRD28",8609,6993,9352,7098,7377,6062
"ANKRD29",0,9,0,1,2,1
"ANKRD31",529,583,522,1302,506,575
"ANKRD33B",0,15,1,0,3,0
"ANKRD34A",2,8,1,2,0,0
"ANKRD34B",19,85,24,54,28,21
"ANKRD34C",1,29,1,5,0,1
"ANKRD35",0,36,1,2,2,2
"ANKRD37",143,98,123,53,127,87
"ANKRD39",35,208,112,105,150,271
"ANKRD40",540,345,509,249,394,461
"ANKRD42",350,392,132,364,421,179
"ANKRD44",363,453,301,306,1022,332
"ANKRD46",3716,4203,2861,2261,2624,1607
"ANKRD49",1796,2149,2413,1729,2115,1905
"ANKRD50",76,87,59,63,189,61
"ANKRD52",221,537,151,685,1008,285
"ANKRD54",1172,1155,1199,1690,2042,1635
"ANKRD55",4,11,5,9,5,0
"ANKRD6",308,502,409,287,920,706
"ANKRD60",249,291,161,339,433,154
"ANKRD66",1,6,2,3,2,2
"ANKRD7",27,43,13,27,12,11
"ANKRD9",66,188,156,141,259,430
"ANKS1A",652,971,379,796,1167,443
"ANKS1B",17,53,10,15,16,8
"ANKS3",586,799,298,986,1179,495
"ANKS4B",0,1,0,3,3,0
"ANKS6",208,466,459,888,500,417
"ANKZF1",298,1339,327,1211,2708,953
"ANLN",180,92,200,93,124,156
"ANO1",6,41,6,1,10,3
"ANO10",426,761,352,193,187,213
"ANO2",0,16,0,0,0,0
"ANO3",4,18,3,7,1,1
"ANO4",12,340,31,6,46,32
"ANO5",19632,20503,12375,19974,13199,12558
"ANO6",4,11,4,1,3,1
"ANO8",0,56,6,11,7,2
"ANO9",3,24,21,9,116,99
"ANOS1",0,15,0,0,0,1
"ANP32A",4247,4864,5548,3912,5089,5205
"ANP32E",15938,15643,29790,23103,23650,25846
"ANTKMT",6,6,11,15,34,20
"ANTXR1",2,21,3,2,1,1
"ANTXR2",116,280,119,124,712,126
"ANTXRL",0,25,0,0,0,0
"ANXA1",2546,4222,3251,2176,7002,2091
"ANXA10",197,185,239,221,86,212
"ANXA11",2866,2944,1761,2969,3668,1623
"ANXA13",1,4,0,0,0,0
"ANXA2",1289,1311,465,1049,2342,678
"ANXA4",158,249,95,111,329,159
"ANXA5",132,82,65,55,133,80
"ANXA6",522,476,157,563,1145,443
"ANXA7",209,261,121,199,307,178
"ANXA8L1",0,7,0,0,0,0
"AOAH",1,31,3,9,18,8
"AOPEP",392,264,247,605,360,212
"AP1AR",1362,1311,959,1176,2282,1094
"AP1B1",67,132,73,193,215,155
"AP1G1",2296,2484,1555,2717,3149,1811
"AP1M1",2084,2584,2178,1605,2788,1738
"AP1S2",370,292,257,338,627,170
"AP1S3",58,105,31,76,113,25
"AP2A2",7053,7752,8839,7927,9705,9914
"AP2B1",1954,1777,1374,2000,2709,1719
"AP2M1",4117,3721,6813,3939,7540,6083
"AP2S1",2545,2081,4823,2235,3678,4370
"AP3B1",1491,2052,1344,3045,1519,996
"AP3D1",2071,2430,1271,2623,3049,1281
"AP3M1",2149,2711,2867,3026,4025,3373
"AP3M2",1527,1874,787,1583,2195,964
"AP3S1",643,568,791,794,729,733
"AP3S2",26,120,39,218,184,96
"AP4B1",340,730,291,889,832,497
"AP4E1",2791,3619,2500,3653,3851,2352
"AP4M1",60,429,119,503,528,190
"AP4S1",219,294,214,278,303,224
"AP5M1",1363,1573,2100,1645,1416,1228
"AP5Z1",528,1227,327,1119,1791,724
"APAF1",4372,6013,6204,6808,6003,6397
"APBA1",78,101,43,85,125,66
"APBA2",1,9,0,1,0,1
"APBA3",78,341,79,423,576,279
"APBB2",4,17,8,8,3,8
"APBB3",570,977,861,798,1410,1595
"APC",2498,3271,2392,5711,3311,1866
"APC2",6,87,5,41,5,7
"APCDD1",62,58,67,79,92,50
"APCDD1L",33,49,28,19,36,33
"APELA",0,2,0,0,0,0
"APH1A",152,409,156,398,477,359
"API5",8625,10915,5911,10522,14138,6225
"APLNR",0,11,0,2,1,0
"APLP2",7267,4758,6933,5383,12021,7220
"APOA1",8,39,6,20,25,11
"APOA4",0,12,0,4,1,3
"APOB",0,17,1,2,4,0
"APOBEC2",632,548,592,729,963,707
"APOBEC4",0,224,0,1,2,1
"APOC3",0,2,0,1,0,3
"APOD",0,6,0,2,3,0
"APOF",3,15,3,25,24,11
"APOH",3,7,0,0,1,0
"APOLD1",7,33,6,11,14,7
"APOO",5269,6117,3465,5018,4683,2637
"APOOL",254,123,276,260,239,306
"APPBP2",1998,2601,1888,2497,2761,1834
"APPL1",371,430,389,188,221,390
"APPL2",81,239,71,107,171,91
"APRT",177,837,628,911,1810,2196
"APTX",141,159,125,352,219,185
"AQP1",6,7,8,2,14,1
"AQP10",0,24,1,26,17,2
"AQP11",1759,1150,2185,2080,512,1270
"AQP2",0,8,0,0,0,0
"AQP3",38892,26005,30739,8699,12459,32381
"AQP4",0,11,0,0,2,0
"AQP5",0,7,0,0,0,0
"AQP8",0,10,0,0,8,1
"AQP9",93,85,76,33,212,73
"AQR",7854,10012,5153,9380,9062,4430
"AR",0,43,1,2,2,1
"ARAP1",8,115,20,33,273,40
"ARAP2",166,131,137,214,215,113
"ARAP3",45,209,88,163,359,380
"ARC",0,9,0,0,0,0
"ARCN1",1599,2460,1083,2838,3679,1773
"AREG",1,5,0,0,2,0
"AREL1",1864,2731,991,2743,3824,1518
"ARF1",1239,1549,1093,1417,1808,1044
"ARF3",5,15,7,24,50,27
"ARF4",2413,3354,2888,3556,3646,2426
"ARF6",576,646,335,734,1146,515
"ARFGAP1",2752,3613,3040,3969,3809,3067
"ARFGAP2",1636,1069,1300,1235,2038,1509
"ARFGAP3",3971,5245,8548,5200,3897,2944
"ARFGEF1",4470,7350,3427,5639,5615,1952
"ARFGEF2",4139,5857,3032,4883,5324,2762
"ARFGEF3",10,65,5,3,51,13
"ARFIP1",1143,1361,1006,1390,1297,1021
"ARFIP2",109,390,124,558,736,267
"ARFRP1",2184,1733,735,2193,2517,1082
"ARG2",171,292,82,248,436,112
"ARGLU1",6707,11299,6617,10295,12488,8409
"ARHGAP1",353,434,313,756,456,359
"ARHGAP10",926,461,321,274,568,352
"ARHGAP12",237,463,155,330,398,160
"ARHGAP15",753,1017,1057,440,1553,704
"ARHGAP17",707,697,431,676,830,425
"ARHGAP18",583,1261,469,775,1146,707
"ARHGAP19",22,49,28,29,75,82
"ARHGAP20",1,11,1,0,4,3
"ARHGAP21",245,361,143,156,289,209
"ARHGAP22",75,86,59,63,66,41
"ARHGAP23",0,71,5,12,0,0
"ARHGAP24",41,64,21,28,40,30
"ARHGAP25",198,460,183,216,848,290
"ARHGAP26",837,687,401,1163,1150,591
"ARHGAP27",12,63,18,27,75,19
"ARHGAP28",0,17,0,0,6,1
"ARHGAP29",177,219,156,88,509,118
"ARHGAP31",20,28,11,20,69,23
"ARHGAP32",1138,251,410,755,1900,225
"ARHGAP35",125,192,125,288,356,201
