"GeneID","LWC142","LWC143","LWC148","LWC153","LWC157","LWC162"
"COL26A1",2,23,0,1,6,2
"COL27A1",0,39,0,2,22,1
"COL28A1",95,50,0,26,36,12
"COL2A1",2,52,5,5,1,3
"COL3A1",0,29,0,1,0,0
"COL4A1",11,16,14,4,19,8
"COL4A2",83,70,104,79,82,54
"COL4A3",3,18,4,0,2,2
"COL4A4",190,269,182,91,127,60
"COL4A5",909,2571,1267,1081,2262,734
"COL4A6",76,59,22,37,59,27
"COL5A1",0,46,0,6,3,0
"COL5A2",6,25,6,6,8,1
"COL5A3",27,133,31,212,36,127
"COL6A1",0,21,0,0,0,1
"COL6A2",1,19,0,0,2,0
"COL6A3",2,43,1,1,1,2
"COL7A1",16,171,16,47,57,8
"COL8A1",11,28,6,7,11,11
"COL8A2",54,137,55,175,188,43
"COL9A1",0,21,1,0,0,0
"COL9A2",2,39,1,1,3,2
"COL9A3",290,693,240,1067,851,633
"COLCA2",2,7,2,3,1,3
"COLEC10",0,3,0,1,0,0
"COLEC11",450,421,396,445,542,300
"COLEC12",5,14,1,1,37,1
"COLGALT1",102,309,55,502,468,170
"COLGALT2",1,44,14,5,46,12
"COLQ",60,109,49,42,153,31
"COMMD1",273,249,544,421,410,286
"COMMD10",18,14,42,32,51,47
"COMMD2",554,698,407,620,900,380
"COMMD3",20,27,33,37,83,66
"COMMD4",142,300,294,294,254,419
"COMMD5",310,337,279,369,386,229
"COMMD6",1202,994,648,1212,1272,673
"COMMD7",78,180,1070,109,442,1617
"COMMD8",514,683,756,1341,912,787
"COMMD9",3452,3961,2528,4933,6139,3793
"COMT",2120,1995,1182,1347,1889,940
"COMTD1",12,17,13,14,21,9
"COP1",3096,3369,1643,3095,3621,1626
"COPA",916,1378,507,1529,2443,925
"COPB1",2033,2129,2082,2284,3148,1886
"COPB2",5026,4803,3793,4687,5123,3147
"COPE",2862,2435,2195,3068,3029,2198
"COPG1",973,835,853,1058,1462,933
"COPG2",3957,3503,2762,4015,4607,3294
"COPRS",244,255,100,226,276,90
"COPS2",4253,3652,6905,4017,3434,3989
"COPS3",7035,7054,11943,6899,9537,7347
"COPS4",1125,1346,1658,1583,1329,1466
"COPS5",669,358,428,445,615,397
"COPS6",449,336,907,655,642,751
"COPS7A",1306,1766,1393,1719,2939,1560
"COPS7B",996,1785,924,1873,2338,1207
"COPS8",2344,2284,2516,2729,2874,2154
"COPS9",958,883,586,1011,1354,734
"COPZ2",2,15,0,6,5,4
"COQ10A",447,1290,424,1713,2306,1004
"COQ10B",754,1395,1266,735,1024,502
"COQ2",633,689,777,987,1095,1060
"COQ3",19,29,8,39,48,32
"COQ4",14,48,12,67,99,25
"COQ5",197,198,234,312,372,428
"COQ6",1855,2288,1887,2355,3005,2215
"COQ7",241,334,224,431,482,270
"COQ8A",1543,1550,815,2051,2206,1084
"COQ9",7543,6487,18539,5431,6080,23057
"CORIN",23,74,20,161,53,15
"CORO1B",30,72,36,69,59,54
"CORO1C",1480,2133,1221,1700,3767,1242
"CORO2A",2,6,0,1,0,0
"CORO2B",2,23,2,7,10,7
"CORO6",0,21,5,7,1,2
"CORO7",48,193,41,108,250,77
"COTL1",360,380,535,290,1198,460
"CPA6",0,8,1,0,3,2
"CPAMD8",631,953,208,472,1050,409
"CPB1",36,46,9,9,22,8
"CPB2",3,5,0,4,6,1
"CPD",68,200,32,119,319,98
"CPE",1,6,0,1,8,3
"CPEB1",1,32,1,1,5,5
"CPEB2",193,278,157,245,519,120
"CPEB3",1505,1392,1178,889,1240,897
"CPEB4",6178,7332,4861,7532,7795,6944
"CPED1",5,12,0,3,6,0
"CPLANE1",2417,2292,1778,4117,1984,1378
"CPLANE2",268,315,474,510,376,637
"CPLX1",1,1,0,3,0,0
"CPLX2",5,46,7,28,58,19
"CPLX3",0,5,0,0,0,0
"CPLX4",286,375,152,306,347,182
"CPM",25,39,20,36,34,24
"CPN1",0,22,22,1,26,26
"CPN2",43,123,79,307,331,403
"CPNE1",2832,3741,1504,2832,3664,1468
"CPNE2",34,92,88,144,182,155
"CPNE3",4660,5125,3425,4421,5472,3533
"CPNE4",9,21,19,14,11,9
"CPNE7",0,28,1,6,4,1
"CPNE8",126,1512,249,172,193,90
"CPNE9",2,64,7,20,31,30
"CPO",0,9,0,0,1,0
"CPOX",916,1745,1675,2321,5040,3919
"CPPED1",329,380,163,314,331,183
"CPQ",29,71,47,41,92,18
"CPS1",17,42,7,8,40,3
"CPSF2",1421,1733,1645,1625,1933,1127
"CPSF3",749,740,668,607,926,615
"CPSF4",928,711,746,1235,2424,900
"CPSF4L",5,22,2,9,13,3
"CPSF6",4106,5035,2363,4517,5163,2107
"CPSF7",58,151,48,212,280,115
"CPT1A",12163,14279,14199,8098,15734,14358
"CPT1B",0,7,0,4,0,3
"CPT2",138,104,93,62,197,167
"CPXM2",0,4,0,0,1,7
"CPZ",0,9,0,0,0,0
"CRABP1",0,3,0,1,2,0
"CRABP2",0,15,1,5,9,2
"CRACD",695,685,319,461,609,207
"CRACDL",0,5,0,0,0,0
"CRACR2A",244,372,462,142,644,206
"CRACR2B",5,13,0,6,3,4
